files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.59999999999999998
modification-date,2017-05-16
production-run,1
alternative-names,D11_q2.00_a0.60_m200
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,5.6706049201952169
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,10.797144571446202
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.59999999999999998
eccentricity,0.0036652615858342157
nhatz,-0.0
simulation-type,aligned-spins
nhatx,0.96464424999999998
nhaty,-0.26355542999999998
mass1,0.66666667000000002
name,GT0588
license,public
mass2,0.33333332999999998
Omega,0.049022084277575817
Lmax,6
eta,0.22222222
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1583.624731428617
