files-in-error-series,SXS_BBH_0132_Res5.h5
comparable-simulation,"SXS_BBH_0007_Res4.h5,SXS_BBH_0007_Res5.h5,SXS_BBH_0007_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.114282282331
f_lower_at_1MSUN,1063.4233762685058
spin1z,-0.0067300316616499996
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0132
Format,3
LNhaty,0.0052202242453405594
LNhatx,-0.027511323909351976
LNhatz,0.99960786127140033
mean_anomaly,4.9637979999999997
Omega,0.016455292541996153
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.040868070075199998
spin2y,-0.086959816428899994
spin2z,0.31049484473700001
eccentricity,0.00013300000000000001
nhatz,-0.013704883521193423
simulation-type,precessing
nhatx,-0.64322200380631711
nhaty,-0.76555707167203202
mass1,0.61977344269099999
name,SXS:BBH:0132
license,LVC-internal
mass2,0.380263269648
type,NRinjection
Lmax,8
eta,0.23565977219816456
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,-0.00500886631202
