files-in-error-series,SXS_BBH_0003_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.052749075939800001
f_lower_at_1MSUN,731.40877231525735
spin1z,-0.00029251320563900002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0003
Format,3
LNhaty,-0.0093838971576087477
LNhatx,0.0026756526578190832
LNhatz,0.99995239054516505
mean_anomaly,5.1693559999999996
Omega,0.011317736270253793
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.75293372557e-08
spin2y,4.6481088458800001e-08
spin2z,8.5209580714399994e-08
eccentricity,0.00028689999999999998
nhatz,0.0084739315231875945
simulation-type,precessing
nhatx,-0.71494128179009031
nhaty,0.69913314617237465
mass1,0.50021979059800004
name,SXS:BBH:0003
license,LVC-internal
mass2,0.49999994100200001
type,NRinjection
Lmax,8
eta,0.24999998792184724
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,210.0
PN_approximant,"none, NR only"
spin1x,0.49659774022399999
