files-in-error-series,SXS_BBH_0047_Res5.h5
comparable-simulation,"SXS_BBH_0053_Res2.h5,SXS_BBH_0053_Res3.h5,SXS_BBH_0053_Res4.h5,SXS_BBH_0053_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,2.8700386466100001e-13
f_lower_at_1MSUN,1126.4216289033557
spin1z,0.49954599999999999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0047
Format,3
LNhaty,2.9857479042519344e-12
LNhatx,-1.0493313109853922e-12
LNhatz,1.0
mean_anomaly,0.915273
Omega,0.017430120348000001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-1.5238772969999999e-12
spin2y,-7.0853597819699998e-13
spin2z,0.49938600000099997
eccentricity,0.00049249999999999999
nhatz,1.5322266520232413e-12
simulation-type,aligned-spins
nhatx,-0.6649606268146242
nhaty,-0.74687841365666896
mass1,0.75033248492299998
name,SXS:BBH:0047
license,LVC-internal
mass2,0.25012688670099997
type,NRinjection
Lmax,8
eta,0.18750601898756147
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,230.0
PN_approximant,"none, NR only"
spin1x,7.9435915526399996e-12
