files-in-error-series,SXS_BBH_0143_Res5.h5
comparable-simulation,"SXS_BBH_0029_Res4.h5,SXS_BBH_0029_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.062313780939800001
f_lower_at_1MSUN,1037.4628551025385
spin1z,0.43601201052600003
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0143
Format,3
LNhaty,0.017173732374261359
LNhatx,-0.028064023331439421
LNhatz,0.99945859019310546
mean_anomaly,1.833545
Omega,0.016053582386039589
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.018675612443600002
spin2y,-0.43446792594099998
spin2z,-0.085263645262900006
eccentricity,0.0004773
nhatz,0.031422963695368594
simulation-type,precessing
nhatx,0.96891416315712942
nhaty,-0.24539344283439837
mass1,0.65772372480600005
name,SXS:BBH:0143
license,LVC-internal
mass2,0.34257940755999999
type,NRinjection
Lmax,8
eta,0.22518606092314616
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,380.0
PN_approximant,"none, NR only"
spin1x,-0.094299780150500001
