files-in-error-series,SXS_BBH_0038_Res5.h5
comparable-simulation,"SXS_BBH_0174_Res1.h5,SXS_BBH_0174_Res2.h5,SXS_BBH_0174_Res4.h5,SXS_BBH_0174_Res5.h5,SXS_BBH_0174_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,4.0185793345900001e-12
f_lower_at_1MSUN,1142.1962248552845
spin1z,-0.49954000000100002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0038
Format,3
LNhaty,-1.2432140847176381e-11
LNhatx,-1.7610308462435571e-11
LNhatz,1.0
mean_anomaly,0.123228
Omega,0.0176742146541
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,4.66270710151e-10
spin2y,-6.5992333909700003e-10
spin2z,5.5678425187999995e-07
eccentricity,0.0001
nhatz,-1.9689813595817391e-11
simulation-type,aligned-spins
nhatx,-0.98095201392177145
nhaty,-0.1942502159144763
mass1,0.750333794311
name,SXS:BBH:0038
license,LVC-internal
mass2,0.250000629049
type,NRinjection
Lmax,8
eta,0.18745851859400514
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,190.0
PN_approximant,"none, NR only"
spin1x,3.1365457293300001e-12
