files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.29999999999999999
spin1z,0.51961524000000003
modification-date,2017-06-19
production-run,1
alternative-names,Sq4_d6.2_a0.6_oth.030_rr_M140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.018764579999999999
LNhatx,-0.0014677900000000001
LNhatz,0.99982285000000004
mean_anomaly,3.0693514764349765
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,6.3370368840362392
NR-group,Georgia Tech
spin2x,-0.59999999999999998
spin2y,0.0
spin2z,0.0
eccentricity,0.0031529466001908018
nhatz,-0.0023644500000000001
simulation-type,precessing
nhatx,0.98128075999999997
nhaty,-0.19256814
mass1,0.80000000000000004
name,GT0432
license,public
mass2,0.20000000000000001
Omega,0.10255346298163483
Lmax,8
eta,0.16
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3312.9191193050833
