files-in-error-series,SXS_BBH_0131_Res5.h5
comparable-simulation,"SXS_BBH_0007_Res4.h5,SXS_BBH_0007_Res5.h5,SXS_BBH_0007_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.0136321725564
f_lower_at_1MSUN,1038.543212259141
spin1z,-0.069933787857200003
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0131
Format,3
LNhaty,-0.0080443661662237837
LNhatx,2.8518807901853907e-05
LNhatz,0.99996764315634801
mean_anomaly,3.3740139999999998
Omega,0.016070299709975155
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.10525748684199999
spin2y,0.017145352631600001
spin2z,-0.175485545489
eccentricity,8.3999999999999995e-05
nhatz,-0.0077775903146312924
simulation-type,precessing
nhatx,-0.25198841540125566
nhaty,-0.96769899637876144
mass1,0.60784379558099999
name,SXS:BBH:0131
license,LVC-internal
mass2,0.392164540226
type,NRinjection
Lmax,8
eta,0.23837080858057672
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,280.0
PN_approximant,"none, NR only"
spin1x,0.0419731114285
