files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.59999999999999998
modification-date,2017-05-16
production-run,1
alternative-names,Lq_D6.2_q2.50_a0.6_th000_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,3.047647318729922
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,6.2492259418421856
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.59999999999999998
eccentricity,0.01341356850270049
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.95573525999999998
nhaty,-0.29422799999999999
mass1,0.71428570999999996
name,GT0676
license,public
mass2,0.28571428999999998
Omega,0.10340211632995076
Lmax,6
eta,0.20408163000000001
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3340.3342822996442
