files-in-error-series,SXS_BBH_0042_Res4.h5
comparable-simulation,"SXS_BBH_0053_Res2.h5,SXS_BBH_0053_Res3.h5,SXS_BBH_0053_Res4.h5,SXS_BBH_0053_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.039871561466099999
f_lower_at_1MSUN,1430.3561148708075
spin1z,-0.43142901503800002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0042
Format,3
LNhaty,-0.029820077612987134
LNhatx,0.0017692012569210135
LNhatz,0.99955371686471561
mean_anomaly,0.117949
Omega,0.022133168063337084
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.70160535338e-08
spin2y,-2.0840788947299999e-08
spin2z,1.39853795864e-06
eccentricity,0.00046200000000000001
nhatz,-0.0089665921166514045
simulation-type,precessing
nhatx,-0.93444467904659301
nhaty,-0.35599542416627128
mass1,0.75033879276500004
name,SXS:BBH:0042
license,LVC-internal
mass2,0.25000086434800001
type,NRinjection
Lmax,8
eta,0.18745798224451238
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.24869009812000001
