files-in-error-series,SXS_BBH_0138_Res5.h5
comparable-simulation,"SXS_BBH_0010_Res1.h5,SXS_BBH_0010_Res3.h5,SXS_BBH_0010_Res4.h5,SXS_BBH_0010_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.42475007631599998
f_lower_at_1MSUN,1030.8194290713684
spin1z,0.041817850864599999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0138
Format,3
LNhaty,0.00022104363270963786
LNhatx,0.023499906000201447
LNhatz,0.99972381463967042
mean_anomaly,6.0589700000000004
Omega,0.01595078276618582
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.012482939887199999
spin2y,-0.0080338085150500008
spin2z,-0.11106384022599999
eccentricity,0.00050980000000000003
nhatz,0.023268146967055762
simulation-type,precessing
nhatx,-0.99109745860362586
nhaty,0.13108936221583237
mass1,0.629787615739
name,SXS:BBH:0138
license,LVC-internal
mass2,0.37037208002200001
type,NRinjection
Lmax,8
eta,0.23318126714677329
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,190.0
PN_approximant,"none, NR only"
spin1x,-0.044052367180499999
