files-in-error-series,SXS_BBH_0052_Res5.h5
comparable-simulation,"SXS_BBH_0053_Res2.h5,SXS_BBH_0053_Res3.h5,SXS_BBH_0053_Res4.h5,SXS_BBH_0053_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.073114171391100005
f_lower_at_1MSUN,1138.5623970823206
spin1z,0.00128380756015
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0052
Format,3
LNhaty,-0.05489135712101946
LNhatx,0.009048633562844903
LNhatz,0.99845133138478914
mean_anomaly,5.0294150000000002
Omega,0.017617985215867063
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.00082644255789400003
spin2y,0.0080965114661600002
spin2z,-0.49929736165400002
eccentricity,0.00041669999999999999
nhatz,-0.036537690737140083
simulation-type,precessing
nhatx,-0.63738759023924041
nhaty,-0.76967659244945941
mass1,0.75033265658799997
name,SXS:BBH:0052
license,LVC-internal
mass2,0.25012822513600003
type,NRinjection
Lmax,8
eta,0.18750649918809856
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,230.0
PN_approximant,"none, NR only"
spin1x,0.49416119812100001
