files-in-error-series,SXS_BBH_0101_Res5.h5
comparable-simulation,"SXS_BBH_0012_Res4.h5,SXS_BBH_0012_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-5.0501912894699999e-12
f_lower_at_1MSUN,743.4393192237261
spin1z,-0.49952400000000002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0101
Format,3
LNhaty,3.408137280977083e-11
LNhatx,-3.6771205565448372e-11
LNhatz,1.0
mean_anomaly,2.4282720000000002
Omega,0.011503895586699999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-2.8621143233000002e-10
spin2y,-7.1227434774600004e-10
spin2z,1.38031047744e-07
eccentricity,0.0025157000000000001
nhatz,-1.0647840702503104e-11
simulation-type,aligned-spins
nhatx,0.50850309235066493
nhaty,0.86106016344376957
mass1,0.60027030583300001
name,SXS:BBH:0101
license,LVC-internal
mass2,0.40000003744099999
type,NRinjection
Lmax,8
eta,0.23997837419024889
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,1.12818789925e-13
