files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,-0.0
spin1z,0.60078675999999998
modification-date,2017-05-16
production-run,1
alternative-names,D10_q1.75_a0.6_m100
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,2.9460517840493972
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,9.8304592487873652
NR-group,Georgia Tech
spin2x,-0.0
spin2y,0.0
spin2z,0.60160915999999998
eccentricity,0.0042871161318802607
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.94915201000000005
nhaty,-0.31481815000000002
mass1,0.63634555000000004
name,GT0415
license,public
mass2,0.36374231000000001
Omega,0.05551661691694084
Lmax,6
eta,0.23142513000000001
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,1793.4261435540791
