files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,fr_b3.1_a0.6_oth.330_rr_M77
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.052394580000000003
LNhatx,-0.018694249999999999
LNhatz,0.99845147000000001
mean_anomaly,3.1972842373427341
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.0019433810287337
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.31075028421314976
nhatz,0.03335726
simulation-type,precessing
nhatx,0.95513183000000001
nhaty,-0.29429659000000002
mass1,0.5
name,GT0280
license,public
mass2,0.5
Omega,0.10794066590899884
Lmax,6
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3486.9490063390949
