files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q2.4_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,5.4487459264250448
type,NRinjection
comparable-simulation,GT0582
init_sep,8.5709369136447169
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.00082608476066594434
nhatz,0.0
simulation-type,non-spinning
nhatx,-0.67946567999999996
nhaty,0.73370729000000001
mass1,0.70588234999999999
name,GT0622
license,public
mass2,0.29411765000000001
Omega,0.067227192192817406
Lmax,8
eta,0.20761246
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2171.7282271849404
