files-in-error-series,SXS_BBH_0082_Res5.h5
comparable-simulation,"SXS_BBH_0016_Res4.h5,SXS_BBH_0016_Res5.h5,SXS_BBH_0016_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.052897020413399998
f_lower_at_1MSUN,990.31819315448206
spin1z,-0.000262902840131
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0082
Format,3
LNhaty,-0.014548551390276611
LNhatx,0.0046837321210391521
LNhatz,0.99988319433114925
mean_anomaly,5.0474649999999999
Omega,0.015324071241690902
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.40139553233e-08
spin2y,6.3045440977399998e-09
spin2z,3.34761631955e-07
eccentricity,0.022613100000000001
nhatz,0.013599970527956926
simulation-type,precessing
nhatx,-0.70700472692281435
nhaty,0.70707804159826337
mass1,0.600243346856
name,SXS:BBH:0082
license,LVC-internal
mass2,0.40000030448099999
type,NRinjection
Lmax,8
eta,0.23998056408782653
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.49640532180500002
