files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q3.4_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.3780056312977784
type,NRinjection
comparable-simulation,GT0582
init_sep,8.8608332085064898
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0037926336505619586
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.66172752999999995
nhaty,0.74974441000000003
mass1,0.77272726999999997
name,GT0761
license,public
mass2,0.22727273000000001
Omega,0.06606067337145681
Lmax,8
eta,0.17561983
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2134.0446386063004
