files-in-error-series,SXS_BBH_0069_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.2067118646599999e-10
f_lower_at_1MSUN,735.91753351120076
spin1z,1.18865858647e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0069
Format,3
LNhaty,-6.4424375841872175e-11
LNhatx,2.3283229316024465e-11
LNhatz,1.0
mean_anomaly,3.0042559999999998
Omega,0.011387504328900001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,7.3832981616700003e-10
spin2y,1.4177724812000001e-09
spin2z,1.2044191616600001e-07
eccentricity,0.018381999999999999
nhatz,-1.0972218249058298e-11
simulation-type,non-spinning
nhatx,-0.87388293656781346
nhaty,-0.4861364141633655
mass1,0.50000016414100001
name,SXS:BBH:0069
license,LVC-internal
mass2,0.50000016886400001
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,310.0
PN_approximant,"none, NR only"
spin1x,6.9201633120300004e-10
