files-in-error-series,SXS_BBH_0041_Res4.h5
comparable-simulation,"SXS_BBH_0036_Res4.h5,SXS_BBH_0036_Res5.h5,SXS_BBH_0036_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,1.44301359399e-11
f_lower_at_1MSUN,1403.7039120491006
spin1z,0.49953500000000001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0041
Format,3
LNhaty,-4.9074310450126329e-11
LNhatx,-3.3375889566687961e-10
LNhatz,1.0
mean_anomaly,0.89054699999999998
Omega,0.021720754904000002
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.3589295826999998e-09
spin2y,-1.2010798045100001e-08
spin2z,1.01200879812e-06
eccentricity,9.8999999999999994e-05
nhatz,-2.8014851808146591e-10
simulation-type,aligned-spins
nhatx,-0.74056919817621847
nhaty,-0.67198010589051904
mass1,0.75033300593700003
name,SXS:BBH:0041
license,LVC-internal
mass2,0.25000070753600001
type,NRinjection
Lmax,8
eta,0.18745864654362715
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,-8.7092423346000008e-12
