files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q2.6_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,5.4276344694016592
type,NRinjection
comparable-simulation,GT0582
init_sep,8.6305748574249197
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0013344685488216061
nhatz,-0.0
simulation-type,non-spinning
nhatx,-0.67103544000000004
nhaty,0.74142527000000003
mass1,0.72222222000000003
name,GT0651
license,public
mass2,0.27777777999999997
Omega,0.06694425174631416
Lmax,8
eta,0.20061728000000001
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2162.5880305734113
