files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.20000000000000001
modification-date,2017-05-26
production-run,1
alternative-names,D10_q7.00_a0.20_0.00_m320
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,2.8628556352015204
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,10.389874264468901
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.012467414849759636
nhatz,0.0
simulation-type,aligned-spins
nhatx,0.97263237000000002
nhaty,-0.23234946000000001
mass1,0.875
name,GT0688
license,public
mass2,0.125
Omega,0.054009211651016867
Lmax,8
eta,0.109375
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1744.7304527326485
