files-in-error-series,SXS_BBH_0079_Res5.h5
comparable-simulation,"SXS_BBH_0016_Res4.h5,SXS_BBH_0016_Res5.h5,SXS_BBH_0016_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.050954916691899999
f_lower_at_1MSUN,935.36576474231833
spin1z,-0.00037395464323399999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0079
Format,3
LNhaty,-0.013914429656697265
LNhatx,0.0048072134578136623
LNhatz,0.99989163380143331
mean_anomaly,5.5638670000000001
Omega,0.014473743605873597
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.14955907518e-08
spin2y,5.4960608834499999e-09
spin2z,2.5023387330799998e-07
eccentricity,7.7899999999999996e-05
nhatz,0.013548336793635811
simulation-type,precessing
nhatx,-0.67022886564918227
nhaty,0.74203080139623356
mass1,0.600246349259
name,SXS:BBH:0079
license,LVC-internal
mass2,0.40000031032599997
type,NRinjection
Lmax,8
eta,0.23998032448052839
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.49664060676799998
