files-in-error-series,SXS_BBH_0122_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.060557604999899997
f_lower_at_1MSUN,1037.6450992498692
spin1z,-0.47658371992499998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0122
Format,3
LNhaty,-0.0027009822896156919
LNhatx,0.004856415401287997
LNhatz,0.99998455984286139
mean_anomaly,1.700577
Omega,0.016056402411276309
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.041151808609099998
spin2y,0.050079720751799998
spin2z,-0.36398937669199999
eccentricity,0.00020719999999999999
nhatz,0.005400946713205363
simulation-type,precessing
nhatx,-0.96375002987904479
nhaty,0.26675215028700605
mass1,0.53938332517200005
name,SXS:BBH:0122
license,LVC-internal
mass2,0.46089454083199999
type,NRinjection
Lmax,8
eta,0.24846073322187071
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,-0.019414572218000001
