files-in-error-series,SXS_BBH_0067_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.6591093458599999e-10
f_lower_at_1MSUN,793.29074847065647
spin1z,1.2089943421e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0067
Format,3
LNhaty,-7.4928821671745819e-11
LNhatx,2.4363910195313779e-11
LNhatz,1.0
mean_anomaly,3.234524
Omega,0.0122752909408
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.8733655977700001e-10
spin2y,1.30768811654e-09
spin2z,1.2217594060199999e-07
eccentricity,0.0002365
nhatz,-3.4387067656192373e-11
simulation-type,non-spinning
nhatx,-0.72068091965037906
nhaty,-0.69326691256101658
mass1,0.50000016133000003
name,SXS:BBH:0067
license,LVC-internal
mass2,0.50000016629599997
type,NRinjection
Lmax,8
eta,0.24999999999999994
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,7.0696970375800001e-10
