files-in-error-series,SXS_BBH_0091_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-3.0891446127799998e-10
f_lower_at_1MSUN,682.21857367760742
spin1z,9.6668604135299997e-08
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0091
Format,3
LNhaty,-1.0802626440505475e-10
LNhatx,4.2589441405556572e-11
LNhatz,1.0
mean_anomaly,2.767801
Omega,0.0105565727235
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.5202249661700001e-09
spin2y,1.6108347067699999e-09
spin2z,9.9386000263299994e-08
eccentricity,0.021638899999999999
nhatz,-4.0286670819453848e-11
simulation-type,non-spinning
nhatx,-0.7452736143890224
nhaty,-0.66675875674453844
mass1,0.50000014567999995
name,SXS:BBH:0091
license,LVC-internal
mass2,0.50000014989599995
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,350.0
PN_approximant,"none, NR only"
spin1x,6.9787300338299998e-10
