files-in-error-series,SXS_BBH_0040_Res4.h5
comparable-simulation,"SXS_BBH_0174_Res1.h5,SXS_BBH_0174_Res2.h5,SXS_BBH_0174_Res4.h5,SXS_BBH_0174_Res5.h5,SXS_BBH_0174_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-2.4231967857100002e-11
f_lower_at_1MSUN,1440.6349530071213
spin1z,-0.49952299999900002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0040
Format,3
LNhaty,-8.3503595096760845e-11
LNhatx,-4.884988153234509e-10
LNhatz,1.0
mean_anomaly,0.14014099999999999
Omega,0.022292221637199999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,8.0845937819400007e-09
spin2y,-1.4242956165399999e-08
spin2z,1.3783467180399999e-06
eccentricity,0.00091069999999999996
nhatz,-3.942943457562185e-10
simulation-type,aligned-spins
nhatx,-0.68216467601428887
nhaty,-0.73119857412218781
mass1,0.75033422953899997
name,SXS:BBH:0040
license,LVC-internal
mass2,0.25000084897300001
type,NRinjection
Lmax,8
eta,0.18745854668908191
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,1.6841338797000001e-11
