files-in-error-series,SXS_BBH_0066_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.6543957255799998e-10
f_lower_at_1MSUN,793.8276450248818
spin1z,1.2091671691700001e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0066
Format,3
LNhaty,-7.1053075581155618e-11
LNhatx,2.3810634855547231e-11
LNhatz,1.0
mean_anomaly,3.2223890000000002
Omega,0.0122835988171
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.8503408984899995e-10
spin2y,1.3060738947400001e-09
spin2z,1.2219203118999999e-07
eccentricity,6.4300000000000004e-05
nhatz,-3.2191622057053891e-11
simulation-type,non-spinning
nhatx,-0.71973038279711121
nhaty,-0.6942536827980994
mass1,0.500000161291
name,SXS:BBH:0066
license,LVC-internal
mass2,0.50000016628199995
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,7.08806898871e-10
