files-in-error-series,SXS_BBH_0115_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.0126146907895
f_lower_at_1MSUN,1041.6128871309422
spin1z,-0.203953821052
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0115
Format,3
LNhaty,-0.015278272338092197
LNhatx,-0.0044453311438668553
LNhatz,0.99987339869874758
mean_anomaly,0.41571399999999997
Omega,0.016117799510291329
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.24288996466099999
spin2y,-0.0672580502631
spin2z,0.29110697481199999
eccentricity,7.7600000000000002e-05
nhatz,-0.010762117134165595
simulation-type,precessing
nhatx,0.51831144445525534
nhaty,-0.85512421517665915
mass1,0.51691639940099998
name,SXS:BBH:0115
license,LVC-internal
mass2,0.48317111118200001
type,NRinjection
Lmax,8
eta,0.24971536370031097
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,330.0
PN_approximant,"none, NR only"
spin1x,0.0190408836842
