files-in-error-series,"SXS_BBH_0271_Res3.h5,SXS_BBH_0271_Res4.h5,SXS_BBH_0271_Res5.h5"
comparable-simulation,
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,9.4325240852099996e-14
f_lower_at_1MSUN,974.84548040642017
spin1z,-0.29996480038599999
modification-date,2017-03-05
production-run,1
alternative-names,"PRIVATE:BBH:0069,SXS:BBH:0271"
Format,3
LNhaty,-8.6324847547611772e-12
LNhatx,1.3656128141552723e-12
LNhatz,1.0
mean_anomaly,5.6080170000000003
Omega,0.015084648242000001
INSPIRE-bibtex-keys,SXSCatalog
NR-group,SXS
spin2x,-4.7498946569000001e-12
spin2y,-1.7438130167299999e-11
spin2z,3.4710019846199999e-07
eccentricity,4.8999999999999998e-05
nhatz,5.9927362843285866e-15
simulation-type,aligned-spins
nhatx,-0.98782419581681724
nhaty,-0.15557428501798842
mass1,0.750039516947
name,SXS:BBH:0271
license,LVC-internal
mass2,0.25000045343600003
type,NRinjection
Lmax,8
eta,0.18749523051977099
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,220.0
PN_approximant,"none, NR only"
spin1x,2.61044095425e-13
