files-in-error-series,"SXS_BBH_0176_Res2.h5,SXS_BBH_0176_Res3.h5,SXS_BBH_0176_Res4.h5"
comparable-simulation,
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.42291564827e-08
f_lower_at_1MSUN,1015.2988978002298
spin1z,0.95955508967799996
modification-date,2017-03-05
production-run,1
alternative-names,"PRIVATE:BBH:0110,SXS:BBH:0176,S^{++}_{0.96}"
Format,3
LNhaty,4.5174878257991192e-10
LNhatx,-6.646710433742877e-10
LNhatz,1.0
mean_anomaly,4.7750760000000003
Omega,0.0157106198281
INSPIRE-bibtex-keys,SXSCatalog
NR-group,SXS
spin2x,-2.9004782445900001e-08
spin2y,1.2909126073e-08
spin2z,0.95955515508099998
eccentricity,0.00079819999999999999
nhatz,-4.0847511551483998e-10
simulation-type,aligned-spins
nhatx,-0.90446246708810618
nhaty,-0.42655321547128949
mass1,0.50013637638599995
name,SXS:BBH:0176
license,LVC-internal
mass2,0.500136358512
type,NRinjection
Lmax,8
eta,0.24999999999999989
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,2.8891933912600001e-08
