files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Sq_D6.2_q3.00_a0.6_th345_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.029885950000000001
LNhatx,-0.01025123
LNhatz,0.99950075000000005
mean_anomaly,3.0570233598241656
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.2703269647469746
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.29840460562418758
nhatz,0.017775679999999999
simulation-type,precessing
nhatx,0.96340188999999998
nhaty,-0.26747115999999999
mass1,0.75
name,GT0722
license,public
mass2,0.25
Omega,0.10384600595838503
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3354.6738315858975
