files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-15
production-run,1
alternative-names,D9_q4.3_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,5.3848282668306
type,NRinjection
comparable-simulation,GT0582
init_sep,8.9771252113039104
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0055943188159839749
nhatz,0.0
simulation-type,non-spinning
nhatx,-0.66662624999999998
nhaty,0.74539213999999998
mass1,0.81132075000000003
name,GT0791
license,public
mass2,0.18867924999999999
Omega,0.065049410705352667
Lmax,8
eta,0.15307939000000001
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2101.3764933894408
