files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.074805200000000002
spin1x,0.59963902999999996
spin1z,-0.35330908
modification-date,2017-06-16
production-run,1
alternative-names,D8_q2.00_a0.7_0.0_th120_ph045_m120
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.049717049999999999
LNhatx,0.01481552
LNhatz,0.99865345000000005
mean_anomaly,3.3509379032184032
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,7.1814830461238683
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.068377448295668913
nhatz,-0.021646889999999998
simulation-type,precessing
nhatx,0.99051979999999995
nhaty,-0.13565373
mass1,0.66666667000000002
name,GT0799
license,public
mass2,0.33333332999999998
Omega,0.087985841634260945
Lmax,8
eta,0.22222222
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,2842.3221264648282
