files-in-error-series,SXS_BBH_0153_Res4.h5
comparable-simulation,"SXS_BBH_0155_Res2.h5,SXS_BBH_0155_Res3.h5,SXS_BBH_0155_Res4.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-2.9116839783099999e-11
f_lower_at_1MSUN,994.47809010325579
spin1z,0.84982567261700004
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0153
Format,3
LNhaty,-8.8721473261954641e-11
LNhatx,1.2149411290436673e-10
LNhatz,1.0
mean_anomaly,3.3624990000000001
Omega,0.015388441014599999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,6.3220013569499997e-10
spin2y,1.1976521239200001e-10
spin2z,0.84982566847399998
eccentricity,0.00086939999999999999
nhatz,-1.2362964871037965e-10
simulation-type,aligned-spins
nhatx,0.32762936717884272
nhaty,-0.94480632817630461
mass1,0.50005418240400001
name,SXS:BBH:0153
license,LVC-internal
mass2,0.50005418169100002
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,330.0
PN_approximant,"none, NR only"
spin1x,-1.02719767899e-09
