files-in-error-series,SXS_BBH_0090_Res5.h5
comparable-simulation,"SXS_BBH_0004_Res4.h5,SXS_BBH_0004_Res5.h5,SXS_BBH_0004_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-2.9401454210499998e-10
f_lower_at_1MSUN,731.42643737617129
spin1z,9.6599204285600004e-08
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0090
Format,3
LNhaty,-7.9488544052560208e-11
LNhatx,2.5302454557357622e-11
LNhatz,1.0
mean_anomaly,2.7718910000000001
Omega,0.0113180096174
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.0491998796999999e-09
spin2y,1.08644136466e-09
spin2z,9.5149503872300005e-08
eccentricity,0.0010254000000000001
nhatz,-3.1592719977771839e-11
simulation-type,non-spinning
nhatx,-0.76703233823888228
nhaty,-0.64160844141562934
mass1,0.50000014149500005
name,SXS:BBH:0090
license,LVC-internal
mass2,0.50000014513400004
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,340.0
PN_approximant,"none, NR only"
spin1x,6.5514979849400002e-10
