files-in-error-series,SXS_BBH_0130_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.037158659774500002
f_lower_at_1MSUN,1064.6341105716799
spin1z,-0.0137227468797
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0130
Format,3
LNhaty,-0.062330956464306288
LNhatx,-0.0029225329975190806
LNhatz,0.99805125653301152
mean_anomaly,4.2535220000000002
Omega,0.016474027307089682
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.29349355563899998
spin2y,0.059621678985099999
spin2z,0.342692285338
eccentricity,0.0001005
nhatz,-0.049801672413939096
simulation-type,precessing
nhatx,-0.63915668111870372
nhaty,-0.76746239673751993
mass1,0.57983599493600002
name,SXS:BBH:0130
license,LVC-internal
mass2,0.42030560759399999
type,NRinjection
Lmax,8
eta,0.24363931538423597
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,640.0
PN_approximant,"none, NR only"
spin1x,0.16393225451099999
