files-in-error-series,SXS_BBH_0045_Res5.h5
comparable-simulation,"SXS_BBH_0034_Res4.h5,SXS_BBH_0034_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.2178549812e-12
f_lower_at_1MSUN,1129.6521715763074
spin1z,0.49954399999999999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0045
Format,3
LNhaty,-2.4813127709412449e-12
LNhatx,-4.8000709547435738e-13
LNhatz,1.0
mean_anomaly,0.27904899999999999
Omega,0.017480109398400001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-2.09377628947e-12
spin2y,-1.5210923345900001e-12
spin2z,-0.49937100000200002
eccentricity,0.00066180000000000004
nhatz,-1.2657077740373601e-12
simulation-type,aligned-spins
nhatx,-0.94491964475592904
nhaty,-0.32730240597088323
mass1,0.750333569428
name,SXS:BBH:0045
license,LVC-internal
mass2,0.25012749925
type,NRinjection
Lmax,8
eta,0.18750611307214904
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,200.0
PN_approximant,"none, NR only"
spin1x,6.5905221578900002e-12
