files-in-error-series,SXS_BBH_0080_Res5.h5
comparable-simulation,"SXS_BBH_0015_Res4.h5,SXS_BBH_0015_Res5.h5,SXS_BBH_0015_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.050971527782000002
f_lower_at_1MSUN,935.83480344363693
spin1z,-0.00037311680639099998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0080
Format,3
LNhaty,-0.013919721455182246
LNhatx,0.0048063055529575438
LNhatz,0.99989156451164329
mean_anomaly,5.192304
Omega,0.014481001457464934
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.15872552436e-08
spin2y,5.4811136203099999e-09
spin2z,2.5018410714300002e-07
eccentricity,0.00026729999999999999
nhatz,0.013549122964154338
simulation-type,precessing
nhatx,-0.67055475528785446
nhaty,0.74173630181335182
mass1,0.60024631879199997
name,SXS:BBH:0080
license,LVC-internal
mass2,0.40000031023100002
type,NRinjection
Lmax,8
eta,0.2399803269076734
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.496638546992
