files-in-error-series,SXS_BBH_0062_Res3.h5
comparable-simulation,"SXS_BBH_0058_Res4.h5,SXS_BBH_0058_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.23617946804600001
f_lower_at_1MSUN,1411.7041658517137
spin1z,-0.218148262407
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0062
Format,3
LNhaty,-0.050438398271412659
LNhatx,-0.025676322167324916
LNhatz,0.99839706252561355
mean_anomaly,2.2595770000000002
Omega,0.021844549922682172
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,6.89493726688e-08
spin2y,-3.4521134285499997e-08
spin2z,1.36355783834e-06
eccentricity,0.00030459999999999998
nhatz,-0.053513669605945259
simulation-type,precessing
nhatx,-0.71841807998776885
nhaty,-0.69355010598513622
mass1,0.83385574859400002
name,SXS:BBH:0062
license,LVC-internal
mass2,0.166667478747
type,NRinjection
Lmax,8
eta,0.13883131656821096
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,0.38392016391
