files-in-error-series,SXS_BBH_0127_Res5.h5
comparable-simulation,"SXS_BBH_0008_Res4.h5,SXS_BBH_0008_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.076954069586500001
f_lower_at_1MSUN,1035.5366488483965
spin1z,-0.016927543947299999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0127
Format,3
LNhaty,0.0044502494859927702
LNhatx,-0.0063225148390602557
LNhatz,0.99997011009610792
mean_anomaly,3.4998529999999999
Omega,0.01602377648923925
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.0609734139097
spin2y,-0.065489468420999994
spin2z,-0.17886802969900001
eccentricity,7.8999999999999996e-05
nhatz,-0.0021723173042592875
simulation-type,precessing
nhatx,-0.78214893456920476
nhaty,-0.62308773474510593
mass1,0.57265054664199999
name,SXS:BBH:0127
license,LVC-internal
mass2,0.42735789011000003
type,NRinjection
Lmax,8
eta,0.24472260003807353
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,240.0
PN_approximant,"none, NR only"
spin1x,0.0096642218834400006
