files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-17
production-run,1
alternative-names,D9_q2.3_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,5.4269027424380241
type,NRinjection
comparable-simulation,GT0582
init_sep,8.5425608869772649
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.00064635603505358314
nhatz,0.0
simulation-type,non-spinning
nhatx,-0.65718222000000004
nhaty,0.75373173999999998
mass1,0.69696970000000003
name,GT0621
license,public
mass2,0.30303029999999997
Omega,0.067229794769993398
Lmax,8
eta,0.21120294000000001
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2171.8123016514201
