files-in-error-series,SXS_BBH_0135_Res5.h5
comparable-simulation,"SXS_BBH_0007_Res4.h5,SXS_BBH_0007_Res5.h5,SXS_BBH_0007_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.027221001804599999
f_lower_at_1MSUN,1053.1627268947343
spin1z,0.023738308684199998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0135
Format,3
LNhaty,0.0043075674765238135
LNhatx,-0.0080026622284421998
LNhatz,0.99995870027701261
mean_anomaly,2.3958110000000001
Omega,0.016296520418978961
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.21137031729399999
spin2y,-0.14409315037600001
spin2z,-0.22854214436100001
eccentricity,0.00015420000000000001
nhatz,-0.0015952456947655863
simulation-type,precessing
nhatx,0.31205591424489054
nhaty,0.95006239878018484
mass1,0.62121358513500002
name,SXS:BBH:0135
license,LVC-internal
mass2,0.37883356656900002
type,NRinjection
Lmax,8
eta,0.23531436658791618
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,470.0
PN_approximant,"none, NR only"
spin1x,-0.10980305150399999
