files-in-error-series,SXS_BBH_0043_Res4.h5
comparable-simulation,"SXS_BBH_0174_Res1.h5,SXS_BBH_0174_Res2.h5,SXS_BBH_0174_Res4.h5,SXS_BBH_0174_Res5.h5,SXS_BBH_0174_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.037306047218000002
f_lower_at_1MSUN,1405.2469715622717
spin1z,0.43249975037499999
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0043
Format,3
LNhaty,-0.029772330416066264
LNhatx,0.0047091035703877024
LNhatz,0.99954561310885659
mean_anomaly,6.2645340000000003
Omega,0.021744632031647917
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-3.6617712819499999e-09
spin2y,-1.5750604699199999e-08
spin2z,1.04703860902e-06
eccentricity,9.3999999999999994e-05
nhatz,-0.016605079083156109
simulation-type,precessing
nhatx,-0.73830711812933081
nhaty,-0.6742602395723809
mass1,0.75032331729000001
name,SXS:BBH:0043
license,LVC-internal
mass2,0.25000071527200002
type,NRinjection
Lmax,8
eta,0.18745986012751936
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,180.0
PN_approximant,"none, NR only"
spin1x,0.24699181428600001
