files-in-error-series,SXS_BBH_0141_Res5.h5
comparable-simulation,"SXS_BBH_0007_Res4.h5,SXS_BBH_0007_Res5.h5,SXS_BBH_0007_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.051908994097700001
f_lower_at_1MSUN,1025.6299794262368
spin1z,0.0860092219174
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0141
Format,3
LNhaty,0.0081885654550492414
LNhatx,0.0065416803666214027
LNhatz,0.99994507539852873
mean_anomaly,4.9501949999999999
Omega,0.01587048181178867
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.092886562143000007
spin2y,0.124404931579
spin2z,0.039958191729299999
eccentricity,9.7700000000000003e-05
nhatz,0.0022488505489077042
simulation-type,precessing
nhatx,-0.8970167933146308
nhaty,0.44199074105997482
mass1,0.64789656083199998
name,SXS:BBH:0141
license,LVC-internal
mass2,0.35211770422999999
type,NRinjection
Lmax,8
eta,0.22812934097386783
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,170.0
PN_approximant,"none, NR only"
spin1x,-0.18216298157899999
