files-in-error-series,SXS_BBH_0073_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.7151241240700002e-10
f_lower_at_1MSUN,799.87165096200999
spin1z,1.2112937894800001e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0073
Format,3
LNhaty,-7.0639745475728091e-11
LNhatx,2.3288025606103293e-11
LNhatz,1.0
mean_anomaly,0.11723799999999999
Omega,0.0123771230785
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.6906682368600002e-10
spin2y,1.2909931466200001e-09
spin2z,1.22351538718e-07
eccentricity,0.001877
nhatz,-3.3312166444430594e-11
simulation-type,non-spinning
nhatx,-0.70891909729424529
nhaty,-0.70528980815797448
mass1,0.50000016095499999
name,SXS:BBH:0073
license,LVC-internal
mass2,0.50000016603399999
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,7.1137102368499997e-10
