files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.29999999999999999
modification-date,2017-05-16
production-run,1
alternative-names,D11_q1.00_a0.3_m200
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,1.5235426978081894
spin-type,AlignedSpins
type,NRinjection
comparable-simulation,GT0582
init_sep,10.632168336652121
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.29999999999999999
eccentricity,0.0073032486495054841
nhatz,0.0
simulation-type,aligned-spins
nhatx,-0.22515679999999999
nhaty,-0.97432253999999996
mass1,0.5
name,GT0579
license,public
mass2,0.5
Omega,0.051246480351172283
Lmax,6
eta,0.25
Warning1,Spin Information not available at t_begin. Will be provided at t=0.
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,1655.4823173830237
