files-in-error-series,SXS_BBH_0145_Res5.h5
comparable-simulation,"SXS_BBH_0184_Res2.h5,SXS_BBH_0184_Res3.h5,SXS_BBH_0184_Res4.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.0289235059398
f_lower_at_1MSUN,1034.371749297605
spin1z,-0.048823584548800002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0145
Format,3
LNhaty,-0.0056799281531116916
LNhatx,0.0020989372899201967
LNhatz,0.99998166627115137
mean_anomaly,6.260008
Omega,0.016005750965898229
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.091219261428300003
spin2y,-0.0023798566917199999
spin2z,0.027345669624000001
eccentricity,6.9999999999999994e-05
nhatz,-0.0043033943055441632
simulation-type,precessing
nhatx,-0.41356716261789606
nhaty,-0.91046344396775958
mass1,0.66216243869699998
name,SXS:BBH:0145
license,LVC-internal
mass2,0.337839193915
type,NRinjection
Lmax,8
eta,0.22370369408691798
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,270.0
PN_approximant,"none, NR only"
spin1x,0.0167482704887
