files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,SSaP_D6.2_a0.6_th066_ph150_M77
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,0.0
LNhatx,0.0
LNhatz,1.0
mean_anomaly,3.2413136952450667
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,5.944454936333968
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.28098443759872416
nhatz,0.0
simulation-type,precessing
nhatx,0.96155615999999999
nhaty,-0.27460836999999999
mass1,0.47437232000000001
name,GT0518
license,public
mass2,0.47437232000000001
Omega,0.10889447730898622
Lmax,8
eta,0.25
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,3517.7612279000105
