files-in-error-series,SXS_BBH_0044_Res4.h5
comparable-simulation,"SXS_BBH_0034_Res4.h5,SXS_BBH_0034_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.071634646691699999
f_lower_at_1MSUN,1413.679061512473
spin1z,0.0018392094887200001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0044
Format,3
LNhaty,-0.054522129456866582
LNhatx,0.0037737547091619677
LNhatz,0.99850543121952218
mean_anomaly,6.0376899999999996
Omega,0.021875109233830424
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-6.9291377894899999e-09
spin2y,-2.38612800752e-08
spin2z,1.3255444924799999e-06
eccentricity,0.00017139999999999999
nhatz,-0.014064129164391903
simulation-type,precessing
nhatx,-0.94627277598929271
nhaty,-0.32306351340311562
mass1,0.75033196534199997
name,SXS:BBH:0044
license,LVC-internal
mass2,0.25000079743699999
type,NRinjection
Lmax,8
eta,0.18745881029113634
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.494362387593
