files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,-6.5580000000000006e-05
spin1x,0.42437032000000002
spin1z,0.42397300999999998
modification-date,2017-06-19
production-run,1
alternative-names,q4.5_LL_D9_a0.6_th1_45_th2_225_m186
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.01464625
LNhatx,0.00070242999999999998
LNhatz,0.99989249000000002
mean_anomaly,5.5304818422413264
spin-type,Precessing
type,NRinjection
comparable-simulation,GT0560
init_sep,9.1041968661286266
NR-group,Georgia Tech
spin2x,-0.42299826000000001
spin2y,-0.017161599999999999
spin2z,-0.42496388000000002
eccentricity,0.0038548857822384925
nhatz,-0.00465257
simulation-type,precessing
nhatx,0.96688269999999998
nhaty,-0.25517876
mass1,0.81818181999999995
name,GT0880
license,public
mass2,0.18181818
Omega,0.063392111890430661
Lmax,8
eta,0.14876033
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,2047.8385945147827
