files-in-error-series,SXS_BBH_0071_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.6532879511399999e-10
f_lower_at_1MSUN,793.94699308326437
spin1z,1.2091801315800001e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0071
Format,3
LNhaty,-6.0112452935326768e-11
LNhatx,2.2349712980928318e-11
LNhatz,1.0
mean_anomaly,3.3098800000000002
Omega,0.012285445595399999
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.8559124549100004e-10
spin2y,1.30629644737e-09
spin2z,1.2219654773599999e-07
eccentricity,6.0999999999999999e-05
nhatz,-2.5665428906838633e-11
simulation-type,non-spinning
nhatx,-0.71951886778575991
nhaty,-0.69447289284773239
mass1,0.50000016135400005
name,SXS:BBH:0071
license,LVC-internal
mass2,0.50000016620999999
type,NRinjection
Lmax,8
eta,0.25
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,7.0899559586700001e-10
