files-in-error-series,SXS_BBH_0039_Res4.h5
comparable-simulation,"SXS_BBH_0174_Res1.h5,SXS_BBH_0174_Res2.h5,SXS_BBH_0174_Res4.h5,SXS_BBH_0174_Res5.h5,SXS_BBH_0174_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-3.7362831616500001e-12
f_lower_at_1MSUN,953.03734228164251
spin1z,-0.49953900000000001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0039
Format,3
LNhaty,-4.8372567422198179e-12
LNhatx,-1.799529790527378e-11
LNhatz,1.0
mean_anomaly,0.341665
Omega,0.014747191589600001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,3.7571307857e-10
spin2y,-7.9086695639000005e-10
spin2z,3.6351266466099998e-07
eccentricity,0.0030068999999999999
nhatz,-1.4447625085866587e-11
simulation-type,aligned-spins
nhatx,-0.58480695961488871
nhaty,-0.81117249705965122
mass1,0.75033043719000003
name,SXS:BBH:0039
license,LVC-internal
mass2,0.25000031854100002
type,NRinjection
Lmax,8
eta,0.1874588216414651
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,280.0
PN_approximant,"none, NR only"
spin1x,1.65874243985e-12
