files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Eq_D7_q3.00_a0.6_ph330_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.037667020000000002
LNhatx,-0.02039879
LNhatz,0.99908211999999996
mean_anomaly,3.1607337433565732
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.8075919626897194
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.21254602252343058
nhatz,0.010352439999999999
simulation-type,precessing
nhatx,0.97385942000000003
nhaty,-0.22691554
mass1,0.75
name,GT0704
license,public
mass2,0.25
Omega,0.093498948365351511
Lmax,8
eta,0.1875
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3020.4192493232758
