files-in-error-series,SXS_BBH_0055_Res5.h5
comparable-simulation,"SXS_BBH_0054_Res3.h5,SXS_BBH_0054_Res4.h5,SXS_BBH_0054_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-1.5567814845799999e-10
f_lower_at_1MSUN,1133.2817234207077
spin1z,2.96839923684e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0055
Format,3
LNhaty,-8.9297203522838698e-11
LNhatx,1.1130963058321141e-11
LNhatz,1.0
mean_anomaly,0.58052499999999996
Omega,0.0175362726714
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.2887843834899998e-11
spin2y,1.7525783270699999e-10
spin2z,3.7083570413600002e-07
eccentricity,0.0002565
nhatz,-8.7871208892058031e-11
simulation-type,non-spinning
nhatx,0.33476256943960642
nhaty,-0.94230251092851958
mass1,0.83333338712399996
name,SXS:BBH:0055
license,LVC-internal
mass2,0.166667122591
type,NRinjection
Lmax,8
eta,0.13888913620318077
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,290.0
PN_approximant,"none, NR only"
spin1x,4.64774821648e-09
