files-in-error-series,SXS_BBH_0077_Res5.h5
comparable-simulation,"SXS_BBH_0016_Res4.h5,SXS_BBH_0016_Res5.h5,SXS_BBH_0016_Res6.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,0.050770207894699999
f_lower_at_1MSUN,930.13292930116108
spin1z,-0.00038310597556399998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0077
Format,3
LNhaty,-0.013855526177318866
LNhatx,0.0048171577222559043
LNhatz,0.99989240390445433
mean_anomaly,1.848479
Omega,0.014392771304596456
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.1339276649699999e-08
spin2y,5.54435593234e-09
spin2z,2.5064104285800001e-07
eccentricity,0.0021672000000000002
nhatz,0.013539156963673154
simulation-type,precessing
nhatx,-0.6665787366860858
nhaty,0.7453116656987836
mass1,0.60024667988900005
name,SXS:BBH:0077
license,LVC-internal
mass2,0.40000031056800001
type,NRinjection
Lmax,8
eta,0.23998029804621326
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,160.0
PN_approximant,"none, NR only"
spin1x,0.49666230075000001
