files-in-error-series,SXS_BBH_0060_Res4.h5
comparable-simulation,"SXS_BBH_0058_Res4.h5,SXS_BBH_0058_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,4.4282897706699997e-12
f_lower_at_1MSUN,1038.9667135985253
spin1z,-0.49954868420999998
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0060
Format,3
LNhaty,9.0690015988831732e-12
LNhatx,1.8789637370019342e-13
LNhatz,1.0
mean_anomaly,5.6560980000000001
Omega,0.0160768529216
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-3.7061935563999998e-12
spin2y,-2.2129487067600001e-12
spin2z,3.7512243345699998e-07
eccentricity,0.0034344000000000002
nhatz,-8.5641268741068723e-13
simulation-type,aligned-spins
nhatx,-0.99336387071252452
nhaty,0.11501400072613331
mass1,0.83369751913900003
name,SXS:BBH:0060
license,LVC-internal
mass2,0.16666706517900001
type,NRinjection
Lmax,8
eta,0.13884865622064058
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,190.0
PN_approximant,"none, NR only"
spin1x,-3.0918890714199998e-12
