files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-05-27
production-run,1
alternative-names,D11_q4.00_a0.0_m200
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,3.0262611271685658
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0582
init_sep,11.030583789049857
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0013658749274370642
nhatz,0.0
simulation-type,non-spinning
nhatx,0.98915109999999995
nhaty,-0.1469017
mass1,0.80000000000000004
name,GT0454
license,public
mass2,0.20000000000000001
Omega,0.049203817907254116
Lmax,8
eta,0.16
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,
f_lower_at_1MSUN,1589.4955113991552
