files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,GW15_D12_q1.2_a0.0_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,3.1471355536281238
type,NRinjection
comparable-simulation,GT0582
init_sep,11.682015691214113
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0031364479525101212
nhatz,0.0
simulation-type,non-spinning
nhatx,0.99335775000000004
nhaty,-0.11506682
mass1,0.54545454999999998
name,GT0898
license,public
mass2,0.45454545000000002
Omega,0.047689126255699432
Lmax,8
eta,0.24793388
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,1540.5644388990884
