files-in-error-series,SXS_BBH_0166_Res5.h5
comparable-simulation,"SXS_BBH_0167_Res3.h5,SXS_BBH_0167_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-2.17890253383e-10
f_lower_at_1MSUN,1253.8330824863856
spin1z,4.5272937406000001e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0166
Format,3
LNhaty,5.3685757233782209e-11
LNhatx,-6.8571010735615432e-11
LNhatz,1.0
mean_anomaly,2.355569
Omega,0.0194016707095
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,1.41955616166e-10
spin2y,1.41955616166e-10
spin2z,4.67194783085e-07
eccentricity,4.1999999999999998e-05
nhatz,-1.6641439094096942e-11
simulation-type,non-spinning
nhatx,-0.75556277847801101
nhaty,-0.65507624577493884
mass1,0.85714315334000002
name,SXS:BBH:0166
license,LVC-internal
mass2,0.14285770020899999
type,NRinjection
Lmax,8
eta,0.12244929060301435
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,200.0
PN_approximant,"none, NR only"
spin1x,-2.17890253383e-10
