files-in-error-series,-1
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-06-19
production-run,1
alternative-names,Eq_D7_q2.50_a0.6_ph030_m140
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0152949
LNhatx,0.01770658
LNhatz,0.99972623000000005
mean_anomaly,3.135746068878543
spin-type,NonSpinning
type,NRinjection
comparable-simulation,GT0560
init_sep,6.7683472496147505
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.07797855439087123
nhatz,-0.021421160000000002
simulation-type,precessing
nhatx,0.95823506999999997
nhaty,-0.28517833999999997
mass1,0.71428570999999996
name,GT0632
license,public
mass2,0.28571428999999998
Omega,0.09487695471416141
Lmax,8
eta,0.20408163000000001
Warning1,
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
Warning2,Mass Information not available at t_begin. Will be provided at t=0.
f_lower_at_1MSUN,3064.9347970850672
