files-in-error-series,SXS_BBH_0072_Res5.h5
comparable-simulation,"SXS_BBH_0005_Res4.h5,SXS_BBH_0005_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-6.66816931578e-10
f_lower_at_1MSUN,794.48422787184518
spin1z,1.2094540526300001e-07
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0072
Format,3
LNhaty,-6.4401015658928977e-11
LNhatx,2.3002823920521918e-11
LNhatz,1.0
mean_anomaly,0.114926
Omega,0.012293758705500001
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,5.8417885902400001e-10
spin2y,1.3043788007499999e-09
spin2z,1.2220495301300001e-07
eccentricity,0.0001462
nhatz,-2.8259224754539126e-11
simulation-type,non-spinning
nhatx,-0.71856576929756344
nhaty,-0.69545901043397285
mass1,0.50000016120400004
name,SXS:BBH:0072
license,LVC-internal
mass2,0.50000016630699995
type,NRinjection
Lmax,8
eta,0.24999999999999994
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,320.0
PN_approximant,"none, NR only"
spin1x,7.0880185526099995e-10
