files-in-error-series,''
INSPIRE-bibtex-keys,Jani:2016wkt
NR-code,MAYA
point-of-contact-email,deirdre.shoemaker@physics.gatech.edu
object1,BH
object2,BH
spin1y,0.0
spin1x,0.0
spin1z,0.0
modification-date,2017-04-16
production-run,1
alternative-names,D9_q1.4_a0.0_m160
Contact Person,Deirdre Shoemaker
Format,1
LNhaty,-0.0
LNhatx,-0.0
LNhatz,1.0
mean_anomaly,5.5027130750830748
type,NRinjection
comparable-simulation,GT0582
init_sep,8.2676511893489071
NR-group,Georgia Tech
spin2x,0.0
spin2y,0.0
spin2z,0.0
eccentricity,0.0039218451452008845
nhatz,0.0
simulation-type,non-spinning
nhatx,-0.67172109999999996
nhaty,0.74080414000000006
mass1,0.58333332999999998
name,GT0730
license,public
mass2,0.41666667000000002
Omega,0.068153448042757567
Lmax,8
eta,0.24305556
spin-type,NonSpinning
NR-techniques,"Puncture-ID, BSSN, Psi4-integrated, Finite-Radius-Waveform, ApproxKillingVector-Spin, Christodoulou-Mass"
PN_approximant,None
f_lower_at_1MSUN,2201.6502856451648
