files-in-error-series,SXS_BBH_0048_Res5.h5
comparable-simulation,"SXS_BBH_0053_Res2.h5,SXS_BBH_0053_Res3.h5,SXS_BBH_0053_Res4.h5,SXS_BBH_0053_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.00090896598684100005
f_lower_at_1MSUN,1127.9708930701602
spin1z,0.49954500000000002
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0048
Format,3
LNhaty,-0.014248339703462036
LNhatx,0.002752332234585029
LNhatz,0.99989469919735308
mean_anomaly,0.67292200000000002
Omega,0.017454093485753525
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,0.471383970677
spin2y,0.16485072293200001
spin2z,0.00091974981466199995
eccentricity,0.000195
nhatz,-0.0088653340838612763
simulation-type,precessing
nhatx,-0.66147770981358445
nhaty,-0.74991242506799227
mass1,0.75033276296100004
name,SXS:BBH:0048
license,LVC-internal
mass2,0.25012712145400001
type,NRinjection
Lmax,8
eta,0.18750607223503557
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,230.0
PN_approximant,"none, NR only"
spin1x,-0.00011914769041299999
